facility_name,state,industry_sector,total_ghg_emissions_tonnes,latitude,longitude,reporting_year
AIR PRODUCTS WILMINGTON HYDROGEN PLANT,CA,Chemicals,688241.452,33.780833,-118.241111,2021
AKRON REGIONAL LANDFILL *,OH,Waste,2276.25,41.151282,-81.559298,2021
AL CORN CLEAN FUEL,MN,Other,187876.792,44.049412,-93.017379,2021
AL Sandersville,GA,Power Plants,96514.892,33.1189,-82.8608,2021
"ALABAMA RIVER CELLULOSE, LLC",AL,"Pulp and Paper,Waste",346849.204,31.580112,-87.490073,2021
ALADDIN MILLS - ANTIOCH RD PLA NT,GA,Other,46380.724,34.73399,-84.94646,2021
ALBANY LANDFILL,NY,Waste,59193.75,42.70324,-73.84958,2021
ALBEMARLE CORPORATION HOUSTON PLANT,TX,Chemicals,45836.664,29.742498,-95.165513,2021
ALBEMARLE CORPORATION-SOUTH PLANT,AR,Chemicals,77505.208,33.1756,-93.2169,2021
ALCOA INC - WARRICK OPERATIONS,IN,"Metals,Power Plants",5724447.309,37.915,-87.3328,2021
ALCOA INTALCO WORKS,WA,"Metals,Waste",9410.746,48.8455,-122.7055,2021
ALCOA WORLD ALUMINA ATLANTIC,TX,"Metals,Waste",13654.792,28.65083,-96.56222,2021
ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL,TN,Waste,84858.25,35.73834,-84.05978,2021
ALL PURPOSE LANDFILL,CA,Waste,47082.25,37.4135,-121.9724,2021
APPLEBY TREATER,TX,Petroleum and Natural Gas Systems,46926.154,31.6912,-94.5833,2021
ALLEGANY BALLISTICS LABORATORY,WV,Other,22628.068,39.56097,-78.84361,2021
ALLEN COUNTY PUBLIC WORKS,KS,Waste,67902.488,37.901209,-95.280776,2021
ALLIANCE SANI LDFL,PA,Waste,48527.098,41.3965,-75.7375,2021
ALLIED IMPERIAL LANDFILL,CA,Waste,26325.5,32.854701,-115.52505,2021
"ALLISON TRANSMISSION, Inc.",IN,Other,27385.992,39.779861,-86.240969,2021
ALMATIS INC - BAUXITE ARKANSAS,AR,Metals,68152.844,34.57522,-92.53173,2021
ALON REFINING KROTZ SPRINGS INC,LA,"Petroleum Product Suppliers,Refineries",459817.12,30.526504,-91.748383,2021
"ALPEK POLYESTER MISSISSIPPI, INC.",MS,Other,56828.936,30.233028,-89.561667,2021
"ALPEK POLYESTER USA, LLC",NC,Other,47400.872,34.98305,-78.78722,2021
ALPHA RIDGE LANDFILL,MD,Waste,16060.442,39.30718,-76.89862,2021
ALTIVIA Institute Facilities,WV,Chemicals,101391.868,38.384705,-81.776181,2021
"ALTIVIA Petrochemicals, LLC - HAVERHILL COMPLEX",OH,Chemicals,26970.348,38.59167,-82.81944,2021
ALTO COLUMBIA LLC,OR,"Other,Suppliers of CO2",38466.256,45.855921,-119.656083,2021
ALTO MAGIC VALLEY LLC,ID,Other,6659.924,42.521324,-113.815693,2021
ALTON STEEL COMPANY,IL,Metals,35073.788,38.88321,-90.14503,2021
ALYESKA PIPELINE SE/TAPS PUMP STATION 01,AK,Other,72699.974,70.257222,-148.617778,2021
"ALYESKA PIPELINE SERVICE COMPANY, Valdez Marine Terminal",AK,Other,24416.154,61.084857,-146.388531,2021
"AM/NS Calvert, LLC",AL,Metals,558098.248,31.146111,-87.992778,2021
AMALGAMATED SUGAR CO LLC,ID,"Minerals,Waste",353015.946,43.612136,-116.579232,2021
AMALGAMATED SUGAR CO LLC,ID,Minerals,281952.164,42.531995,-114.431448,2021
AMALGAMATED SUGAR CO LLC,ID,"Minerals,Waste",284765.218,42.611671,-113.757423,2021
AMEA Sylacauga Plant,AL,Power Plants,27826.996,33.1661,-86.2825,2021
AMERICAN ACRYL PASADENA,TX,Chemicals,80096.548,29.608982,-95.054226,2021
AMERICAN AIRLINES,OK,Other,38164.568,36.204822,-95.868808,2021
AMERICAN AVENUE LANDFILL,CA,Waste,110383.5,36.661764,-120.132645,2021
AMERICAN CAST IRON PIPE CO,AL,Metals,175269.832,33.54698,-86.83465,2021
AMERICAN COLLOID,WY,Other,52598.04,44.86636,-104.1513,2021
